1, 0
2, 0
3, 0
4, 1
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 1
12, 0
13, 1
14, 0
15, 0
16, 0
17, 0
18, 1
19, 0
20, 0
21, 0
22, 0
23, 0
24, 0
25, 0
26, 1
27, 0
28, 0
29, 0
30, 0
31, 1
32, 0
33, 1
34, 1
35, 0
36, 0
37, 0
38, 0
39, 0
40, 1
41, 0
42, 1
43, 0
44, 0
45, 0
46, 0
47, 0
48, 0
49, 0
50, 0
51, 0
52, 0
53, 0
54, 0
55, 0
56, 1
57, 0
58, 0
59, 0
60, 0
61, 0
62, 1
63, 0
64, 0
65, 0
66, 0
67, 0
68, 1
69, 0
70, 0
71, 1
72, 1
73, 0
74, 1
75, 0
76, 0
77, 0
78, 0
79, 0
80, 0
81, 0
82, 0
83, 0
84, 1
85, 0
86, 1
87, 0
88, 0
89, 0
90, 0
91, 0
92, 1
93, 0
94, 0
95, 0
96, 0
97, 0
98, 0
99, 0
100, 1
101, 0
102, 1
103, 1
104, 1
105, 0
106, 0
107, 0
108, 1
109, 1
110, 0
111, 1
112, 0
113, 0
114, 0
115, 1
116, 0
117, 0
118, 0
119, 0
120, 1
121, 1
122, 0
123, 0
124, 0
125, 0
126, 1
127, 0
128, 0
129, 1
130, 0
131, 1
132, 0
133, 0
134, 0
135, 0
136, 0
137, 0
138, 1
139, 0
140, 0
141, 0
142, 0
143, 1
144, 0
145, 0
146, 1
147, 0
148, 0
149, 0
150, 1
151, 0
152, 0
153, 0
154, 0
155, 0
156, 0
157, 0
158, 0
159, 0
160, 1
161, 0
162, 0
163, 0
164, 1
165, 0
166, 0
167, 0
168, 0
169, 0
170, 1
171, 0
172, 0
173, 0
174, 1
175, 1
176, 0
177, 0
178, 1
179, 0
180, 0
181, 0
182, 0
183, 0
184, 0
185, 1
186, 0
187, 1
188, 0
189, 0
190, 0
191, 0
192, 0
193, 0
194, 0
195, 0
196, 0
197, 0
198, 0
199, 0
200, 0
201, 0
202, 1
203, 0
204, 0
205, 0
206, 0
207, 1
208, 1
209, 0
210, 0
211, 1
212, 0
213, 1
214, 0
215, 0
216, 1
217, 0
218, 0
219, 0
220, 1
221, 0
222, 0
223, 0
224, 0
225, 0
